name,name,borough,rating,review_count,categories_list,GRADE
BONO TRATTORIA,Bono Trattoria,Manhattan,4.2,384,Pizza; Italian,A
BOON CHU THAI STREET FOOD,Boon Chu Thai Street Food,Queens,3.6,24,Thai,A
BOON THAI,Boon Thai,Brooklyn,3.2,95,Thai; Noodles; Soup,A
BORA BORA SMOOTHIE CAFE,Bora Bora Smoothie Cafe,Bronx,4.7,3,Creperies; Acai Bowls; Juice Bars & Smoothies,A
BORN THAI,Born Thai,Brooklyn,3.7,462,Thai,A
BOSINO,Bosino,Manhattan,4.5,101,Pizza; Italian,
BOSNA EXPRESS,Bosna Express,Queens,4.1,72,Burgers; Mediterranean; Halal,A
BOTTE BAR,Botte Bar,Queens,4.4,183,Cocktail Bars; Wine Bars; Italian,A
BOTTE BROOKLYN,Botte Brooklyn,Brooklyn,4.3,122,Italian; Pizza,A
BOTTE DITMARS,Botte Ditmars,Queens,4.1,21,Desserts; Italian; Pizza,
BOTTE UES,Botte UES,Manhattan,4.2,169,Italian; Pizza; Cocktail Bars,A
BOUTROS,Boutros,Brooklyn,4.3,239,New American; Lebanese; Cocktail Bars,A
BOZU,Bozu,Brooklyn,4.1,902,Japanese; Bars,A
BRASSERIE LE MISTRAL,Brasserie Le Mistral,Brooklyn,4.2,143,French; Breakfast & Brunch; Wine Bars,A
BRAVO AFRICAN RESTAURANT,Bravo African Restaurant,Bronx,4.0,15,Senegalese,A
BREAD & BUTTER,Bread & Butter,Manhattan,2.8,249,Japanese; Breakfast & Brunch; Korean,A
BRICIOLA,Briciola,Manhattan,4.0,1087,Italian; Wine Bars; Tapas Bars,A
BRICIOLA HARLEM,Briciola Harlem,Manhattan,4.6,45,Pizza; Italian; Wine Bars,A
BRICOLAGE,Bricolage,Brooklyn,4.1,725,Vietnamese; Gastropubs; Cocktail Bars,A
BROOKLYN BALL FACTORY,Brooklyn Ball Factory,Brooklyn,4.2,188,Coffee & Tea; Japanese; Sandwiches,A
BROOKLYN CHOP HOUSE,Brooklyn Chop House,Manhattan,3.9,1072,Dim Sum; Steakhouses; Asian Fusion,A
BROOKLYN CRAB,Brooklyn Crab,Brooklyn,3.1,1202,Seafood; Bars; Live/Raw Food,A
BROOKLYN DINER,Brooklyn Diner,Manhattan,1.7,127,Diners; New American; Cocktail Bars,A
BROOKLYN DUMPLING SHOP,Brooklyn Dumpling Shop,Manhattan,3.8,487,Dim Sum; Asian Fusion,A
BROOKLYN ICE HOUSE,Brooklyn Ice House,Brooklyn,4.4,251,Barbeque; Pubs,A
BROOKLYN PIZZA CREW,Brooklyn Pizza Crew,Brooklyn,3.6,194,Pizza; Italian,A
BROOKLYN ROOTS ITALIAN,Brooklyn Roots Italian,Brooklyn,4.5,166,Italian; Salad; Desserts,A
BROOKLYN SUYA,Brooklyn Suya,Brooklyn,4.5,153,African; Fast Food,A
BROOKLYN WAFFLE HOUSE,Brooklyn Waffle House,Brooklyn,3.8,31,Waffles,A
BROTHERS RAVIOLI,Brothers Ravioli,Queens,4.0,151,Italian,A
BROTHERS SEAFOOD,Brothers Seafood,Bronx,3.4,53,Seafood; Soul Food; Southern,A
