id,name,rating,review_count,categories_list,BOROUGH,SCORE,GRADE
bnDfFdiCcPzhuNWUJORvLQ,noodle village,3.9,1482,Chinese; Noodles,Manhattan,13.0,A
i7cKPMXreR4XfTjdpqZ_5A,emperor dumpling,4.3,91,Chinese,Manhattan,13.0,A
_WXa2M3gz2Mi0ys3s88nDw,la salle dumpling room,4.0,340,Asian Fusion; Chinese,Manhattan,13.0,A
hDT_KAXQgHpchcwG5_gv0Q,wu & nussbaum,3.4,132,Chinese; Noodles; Bagels,Manhattan,13.0,A
zC5GU4K-IHc25kXf6DVCBg,brooklyn dumpling shop,3.8,487,Dim Sum; Asian Fusion,Manhattan,13.0,A
shwaY4v3fx9tjalvHVIBxQ,tengri tagh uyghur cuisine,4.5,121,Chinese; Halal; Noodles,Queens,13.0,A
JslnSWyVHejiDe4Pywz-bQ,ea dumpling,3.8,31,Chinese; Noodles; Soup,Manhattan,13.0,A
R26zweQ8-xoZS7iHkXQOvw,shanghai 21,4.1,2091,Shanghainese,Manhattan,13.0,A
ZIRsbQCtnGZOhXV7IBXbWw,shaxian snacks,3.8,5,Chinese,Brooklyn,13.0,A
FlZ1zdVEKWv7dwqm8Uw8-w,raku,4.4,1755,Japanese; Noodles,Manhattan,13.0,A
r6r-XK_wL02FQdAgaauTxg,kame,4.4,910,Ramen; Japanese Curry; Salad,Manhattan,13.0,A
DNSFvZtdsqkaidmFSpm-Jw,soba noodle azuma,4.1,467,Noodles; Izakaya,Manhattan,13.0,A
in1CBl2LwIFkLzAr55jyLQ,suram,4.3,93,Sushi Bars; Ramen; Soup,Manhattan,13.0,A
44SY464xDHbvOcjDzRbKkQ,ippudo ny,4.1,10793,Ramen,Manhattan,13.0,A
O1XrvIq-6IlLunLYEjOiFQ,kushi kushi yaki,4.3,208,Tapas/Small Plates; Izakaya; Ramen,Manhattan,13.0,A
C5tqSSgVPfgtsJn3QnvDiQ,hibino,4.2,307,Japanese; Sushi Bars,Brooklyn,13.0,A
kjItczuC-FQa-nECT9VF8A,udon lab,3.9,559,Noodles; Japanese; Sushi Bars,Manhattan,13.0,A
QR1YIRzFjd2bi5iBzT9zXg,blue ribbon sushi,4.1,1305,Sushi Bars; Japanese,Manhattan,13.0,A
aK2ipD9K8-usBw_gkvvJuw,nare sushi,3.8,416,Sushi Bars; Japanese; Cocktail Bars,Manhattan,13.0,A
axqp3pGJXnTLgq2QrPyDyQ,benemon,4.3,737,Japanese; Tapas/Small Plates; Cocktail Bars,Manhattan,13.0,A
XtIpLh4MHpMj5THctXQyIQ,sip & guzzle,4.1,175,Izakaya; Cocktail Bars,Manhattan,13.0,A
mm8gYHxaLLRyv3CslY40TA,suzuki shokudo,4.6,236,Sushi Bars; Ramen,Queens,13.0,A
B8wHwGZCddRZ_T953FApxQ,maki kosaka,4.4,151,Japanese; Sushi Bars; Wine Bars,Manhattan,13.0,A
pil3w2-2REoXBwEToYZ_tQ,bar moga,4.0,362,Cocktail Bars; Japanese; Salad,Manhattan,13.0,A
DakWS_8TIwpHlzp7HcAYDg,kin gin,4.6,18,Japanese,Manhattan,13.0,A
fmf27DIVDUOZSi15gmdR-g,toribro ramen,4.5,158,Ramen,Manhattan,13.0,A
Et1WaiR1cIK-AeICefFKGQ,bond st,4.1,67,Sushi Bars; Japanese; Seafood,Manhattan,13.0,A
SPyN19tjQyRTD-ltN0qNJw,koku ramen,4.0,581,Ramen; Korean,Manhattan,13.0,A
UI6YjZ34NnLdymKx2qf53g,sushi ishikawa,4.9,69,Sushi Bars; Japanese,Manhattan,13.0,A
B3_K2kUVbYOU0VaLcj_LTw,thai villa,4.4,5164,Thai,Manhattan,13.0,A
-XYp6w50XbZfS90YddS5ew,soothr,4.5,1576,Thai; Noodles; Cocktail Bars,Manhattan,13.0,A
AHrU1F123QPdVPTCnsy_xA,chalong,4.6,532,Thai,Manhattan,13.0,A
HuUiXwo2rVKHZDwMeqNfQQ,malii gramercy,4.5,216,Thai,Manhattan,13.0,A
g7qtHQ_121mYWUdu3VWlrA,tong,4.4,198,Thai; Bars; Tapas/Small Plates,Brooklyn,13.0,A
